ABAX,61.95,62.57,62.44,62.64,61.79,62.62
ABCB,25.52,26.40,25.54,25.76,25.61,25.80
ABCD,2.85,3.11,2.78,2.85,2.77,2.78
ABCO,53.33,54.11,53.66,54.17,53.44,54.10
ABCW,33.65,34.63,34.14,34.49,34.03,34.23
ABDC,13.57,13.61,13.65,13.73,13.78,13.78
ABGB,17.34,17.58,17.20,17.44,16.60,16.87
ABIO,0.79,0.87,0.79,0.80,0.70,0.78
ABMD,61.26,61.86,61.55,62.00,59.98,61.53
ABTL,14.87,14.87,14.65,15.10,13.91,14.68
